S_Point,location_text,lon_aralfield_dd,lat_aralfield_dd,elevation_m,field_date,field_time,field_salinity_0_20,field_salinity_20_50,field_salinity_50_100,field_ec_0_20,field_ec_20_50,field_ec_50_100,field_soil_temp_0_20_c,field_soil_temp_20_50_c,field_soil_temp_50_100_c,field_moisture_0_20,field_moisture_20_50,field_moisture_50_100,mean_canopy_temp_c,mean_soil_surface_temp_c,landcover_type,landcover_type2,vegetation_type,vegetation_name,vegetation_density_pct_text,terrain_type,field_soil_texture,lithology,soil_color,field_note,source_file,coordinate_source
S124,"Aral district, the southest point, 10 km South-West from Kaskakulan spring, Barsakelmes protected area",60.893604,45.588539,39.0,22.05.2018,10:25,0.09,,,3.14,,,37.7,,,1.66,,,27.95,41.16,Shrubland,Former sea bed,Desert and xerophytic shrubs,"Haloxylon,  herbs",60-90,Plain,"Sand, Loam","Clay, Sand",Yellow,"Former sea bed, now planred with Haloxylon well fixed sands, moditied",AralField(Sheet1).csv,AralField decimal degrees
S125,"Aral district, 8 km South-West from Kaskakulan spring, Barsakelmes protected area",60.912059,45.608637,47.0,22.05.2018,11:17,1.9,,,101.3,,,36.3,,,23.22,,,,38.62,Bare area,Former sea bed,,,0-30,Plain,"Sand, Silt","Sand, Silt",Yellow,"No vegetation, former sea bed, moving sands on it, sample is collected directly from sea bed",AralField(Sheet1).csv,AralField decimal degrees
S126,"Aral district, 6 km South-West from Kaskakulan spring, Barsakelmes protected area",60.928608,45.624813,46.0,22.05.2018,11:26,0.97,,,46.2,,,38.8,,,10.35,,,34.5,48.3,Shrubland,Grassland,Desert and xerophytic shrubs,"Small Haloxylon,   Sarsazan",30-60,Plain,"Sand, Silt","Sand, Clay, Silt",Grey,"Former sea bed, now planred ",AralField(Sheet1).csv,AralField decimal degrees
S127,"Aral district, 1.5 km South-West from Kaskakulan spring, Barsakelmes protected area",60.9836,45.648156,47.0,22.05.2018,12:10,0.16,,,5.7,,,39.9,,,1.03,,,31.45,55.36,Shrubland,Grassland,Desert and xerophytic shrubs,Shengel,30-60,Plain,"Sand, Silt","Sand, Silt",Grey,,AralField(Sheet1).csv,AralField decimal degrees
S128,"Aral district, Kaskakulan site",60.987777,45.656316,49.0,22.05.2018,12:51,0.14,,,4.18,,,41.4,,,0.12,,,32.575,49.65,Shrubland,Grassland,"shrub and coppice, Grass","Tamarix, Yantak",60-90,Plain,"Sand, Loam",Sand,Grey,Near the water source at protected area,AralField(Sheet1).csv,AralField decimal degrees
S129,"Aral district, 2 km East from Kaskakulan site",61.018802,45.657462,43.0,22.05.2018,13:10,0.18,,,5.64,,,43.7,,,5.72,,,36.66,53.3,Shrubland,Former sea bed,"Shrub and coppice, Desert and xerophytic shrubs",Haloxylon,60-90,Plain,"Sand, Loam, Silt","Sand, Silt",Grey,"Former sea bed, now grey takyr with small sea shells, may be reant transgression zone",AralField(Sheet1).csv,AralField decimal degrees
S130,"Aral district, ~ 32 km South-West from Zhanakurylys village, Barsakelmes protected area",61.213133,45.725247,53.0,22.05.2018,14:15,0.87,,,38.1,,,41.0,,,16.91,,,35.28,48.3,Grassland,Former sea bed,shrub and coppice,"Sarsazan (saline shrub vegetation), herbs",0-30,Plain,Loam,"Sand, Clay",Grey,"Takyr with few vegetation, very sparse",AralField(Sheet1).csv,AralField decimal degrees
S131,"Aral district, ~ 28 km South-West from Zhanakurylys village, Barsakelmes protected area",61.221228,45.754821,54.0,22.05.2018,14:35,0.02,,,0.7,,,42.7,,,3.2,,,38.2,54.92,Grassland,Pasture,Grass,"Artemisia, other herbs",60-90,Plain,Sandly Loam,"Sand, Clay",Grey,"Various herbaceous vegetation, Air temperature is ~ 28",AralField(Sheet1).csv,AralField decimal degrees
S132,"Aral district, ~ 21 km South-West from Zhanakurylys village",61.257944,45.815325,47.0,22.05.2018,15:00,0.28,,,8.84,,,43.2,,,9.76,,,36.58,50.87,Cropland,Abandoned,Grass,Herbaceous vegetation,30-60,Plain,Sandly Loam,"Sand, Clay",Grey,Abandoned cropland (very old),AralField(Sheet1).csv,AralField decimal degrees
S133,"Aral district, ~ 18 km South-West from Zhanakurylys village",61.267256,45.847397,47.0,22.05.2018,15:15,0.1,,,3.25,,,40.9,,,6.68,,,33.09,38.5,Mosaic tree and shrub/herbaceous,Pasture,"Shrub and coppice, Grass","Tamarix, herbs",60-90,Plain,"Loam, Clay, Silt","Sand, Silt, Clay",Grey,"Plain over lakeshore, gw level is high, Various herbaceous vegetation, vegetation is very dense",AralField(Sheet1).csv,AralField decimal degrees
S134,"Aral district, 10 km from Zhanakurylys village",61.268779,45.945191,33.0,22.05.2018,15:47,1.73,,,95.2,,,39.7,,,14.2,,,41.06,,Bare area,Solonchak,,Old and dried vegetation affected by high salinity,30-60,Plain,"Clay, Silt","Silt, Clay",Grey,"Former Sorkol lake bed, very saline, solonchak",AralField(Sheet1).csv,AralField decimal degrees
