S_Point,lon_aralfield_dd,lat_aralfield_dd,pit_code,pit_number,lon_shifted_odt_dd,lat_shifted_odt_dd,mapping_confidence,coordinate_conflict_m,coordinate_policy,notes
S124,60.893604,45.588539,01/20А,1,59.775683,44.7045,confirmed_from_project_notes,131715.2,dual_source_unresolved,Raw AralField DD and shifted/ODT-derived coordinates are both retained. Do not collapse to one coordinate source until the ODT/GPS authority is resolved.
S125,60.912059,45.608637,02/20А,2,59.793467,44.71105,confirmed_from_project_notes,132864.4,dual_source_unresolved,Raw AralField DD and shifted/ODT-derived coordinates are both retained. Do not collapse to one coordinate source until the ODT/GPS authority is resolved.
S126,60.928608,45.624813,03/20А,3,59.813067,44.729433,confirmed_from_project_notes,132504.7,dual_source_unresolved,Raw AralField DD and shifted/ODT-derived coordinates are both retained. Do not collapse to one coordinate source until the ODT/GPS authority is resolved.
S127,60.9836,45.648156,04/20А,4,59.863583,44.755567,confirmed_from_project_notes,132478.6,dual_source_unresolved,Raw AralField DD and shifted/ODT-derived coordinates are both retained. Do not collapse to one coordinate source until the ODT/GPS authority is resolved.
S128,60.987777,45.656316,05/20А,5,59.8688,44.762467,confirmed_from_project_notes,132522.0,dual_source_unresolved,Raw AralField DD and shifted/ODT-derived coordinates are both retained. Do not collapse to one coordinate source until the ODT/GPS authority is resolved.
S129,61.018802,45.657462,06/20А,6,59.89225,44.763633,tentative_from_project_notes,132912.3,dual_source_unresolved,Raw AralField DD and shifted/ODT-derived coordinates are both retained. Do not collapse to one coordinate source until the ODT/GPS authority is resolved.
S130,61.213133,45.725247,07/20А,7,60.065867,44.820933,tentative_from_project_notes,134796.2,dual_source_unresolved,Raw AralField DD and shifted/ODT-derived coordinates are both retained. Do not collapse to one coordinate source until the ODT/GPS authority is resolved.
S131,61.221228,45.754821,08/20А,8,60.097676,44.860309,confirmed_from_project_notes,132713.8,dual_source_unresolved,Raw AralField DD and shifted/ODT-derived coordinates are both retained. Do not collapse to one coordinate source until the ODT/GPS authority is resolved.
S132,61.257944,45.815325,09/20А,9,60.134392,44.920813,confirmed_from_project_notes,132651.6,dual_source_unresolved,Raw AralField DD and shifted/ODT-derived coordinates are both retained. Do not collapse to one coordinate source until the ODT/GPS authority is resolved.
S133,61.267256,45.847397,10/20А,10,60.143704,44.952885,confirmed_from_project_notes,132618.7,dual_source_unresolved,Raw AralField DD and shifted/ODT-derived coordinates are both retained. Do not collapse to one coordinate source until the ODT/GPS authority is resolved.
S134,61.268779,45.945191,11/20А,11,60.145227,45.050679,confirmed_from_project_notes,132518.2,dual_source_unresolved,Raw AralField DD and shifted/ODT-derived coordinates are both retained. Do not collapse to one coordinate source until the ODT/GPS authority is resolved.
