S_Point,pit_number,pit_code,mapping_confidence,coordinate_source,lon,lat,coordinate_conflict_m,authority_decision,candidate_review_status,class_filtered_name,class_recomputed_name,top_salinity_pct,top_pH,top_humus_pct,field_salinity_0_20,field_ec_0_20,ndmi,ndsi_green_swir2,br_nir_swir2,landcover_type,vegetation_name,vegetation_density_pct_text,field_soil_texture,lithology,soil_color,location_text,field_note,authority_selected_source,authority_evidence_reference,source_review_note,map_support_note
S124,1,01/20А,confirmed_from_project_notes,raw_aralfield_dd,60.893604,45.588539,131715.2,unresolved,candidate_not_authoritative,Existing vegetation,Existing vegetation,0.06,7.68,0.45,0.09,3.14,-0.0995496064424514,-0.2778370678424835,0.8070712685585022,Shrubland,"Haloxylon,  herbs",60-90,"Sand, Loam","Clay, Sand",Yellow,"Aral district, the southest point, 10 km South-West from Kaskakulan spring, Barsakelmes protected area","Former sea bed, now planred with Haloxylon well fixed sands, moditied",,,AralField decimal-degree candidate; keep pending GPS/ODT/photo authority review.,"V5 samples a non-water class; this is diagnostic only, not coordinate proof."
S124,1,01/20А,confirmed_from_project_notes,shifted_odt_derived_dd,59.775683,44.7045,131715.2,unresolved,candidate_not_authoritative,Water / NoData / Shadow,Water / NoData / Shadow,0.06,7.68,0.45,0.09,3.14,-0.0159711502492427,0.0658914819359779,1.320885181427002,Shrubland,"Haloxylon,  herbs",60-90,"Sand, Loam","Clay, Sand",Yellow,"Aral district, the southest point, 10 km South-West from Kaskakulan spring, Barsakelmes protected area","Former sea bed, now planred with Haloxylon well fixed sands, moditied",,,Legacy shifted/ODT-derived candidate; keep pending original ODT/GPS authority review.,"V5 samples this coordinate as water/nodata/shadow; this is diagnostic only, not coordinate proof."
S125,2,02/20А,confirmed_from_project_notes,raw_aralfield_dd,60.912059,45.608637,132864.4,unresolved,candidate_not_authoritative,Candidate suitable,Candidate suitable,0.07,6.83,0.82,1.9,101.3,-0.0956375822424888,-0.2254035919904709,0.8038776516914368,Bare area,,0-30,"Sand, Silt","Sand, Silt",Yellow,"Aral district, 8 km South-West from Kaskakulan spring, Barsakelmes protected area","No vegetation, former sea bed, moving sands on it, sample is collected directly from sea bed",,,AralField decimal-degree candidate; keep pending GPS/ODT/photo authority review.,"V5 samples a non-water class; this is diagnostic only, not coordinate proof."
S125,2,02/20А,confirmed_from_project_notes,shifted_odt_derived_dd,59.793467,44.71105,132864.4,unresolved,candidate_not_authoritative,Water / NoData / Shadow,Water / NoData / Shadow,0.07,6.83,0.82,1.9,101.3,-0.0094496887177228,0.0810429900884628,1.366564393043518,Bare area,,0-30,"Sand, Silt","Sand, Silt",Yellow,"Aral district, 8 km South-West from Kaskakulan spring, Barsakelmes protected area","No vegetation, former sea bed, moving sands on it, sample is collected directly from sea bed",,,Legacy shifted/ODT-derived candidate; keep pending original ODT/GPS authority review.,"V5 samples this coordinate as water/nodata/shadow; this is diagnostic only, not coordinate proof."
S126,3,03/20А,confirmed_from_project_notes,raw_aralfield_dd,60.928608,45.624813,132504.7,unresolved,candidate_not_authoritative,Candidate suitable,Candidate suitable,0.05,7.96,0.91,0.97,46.2,-0.0970604494214057,-0.203282818198204,0.854144811630249,Shrubland,"Small Haloxylon,   Sarsazan",30-60,"Sand, Silt","Sand, Clay, Silt",Grey,"Aral district, 6 km South-West from Kaskakulan spring, Barsakelmes protected area","Former sea bed, now planred ",,,AralField decimal-degree candidate; keep pending GPS/ODT/photo authority review.,"V5 samples a non-water class; this is diagnostic only, not coordinate proof."
S126,3,03/20А,confirmed_from_project_notes,shifted_odt_derived_dd,59.813067,44.729433,132504.7,unresolved,candidate_not_authoritative,Water / NoData / Shadow,Water / NoData / Shadow,0.05,7.96,0.91,0.97,46.2,-0.0780952423810958,-0.059982594102621,1.058501958847046,Shrubland,"Small Haloxylon,   Sarsazan",30-60,"Sand, Silt","Sand, Clay, Silt",Grey,"Aral district, 6 km South-West from Kaskakulan spring, Barsakelmes protected area","Former sea bed, now planred ",,,Legacy shifted/ODT-derived candidate; keep pending original ODT/GPS authority review.,"V5 samples this coordinate as water/nodata/shadow; this is diagnostic only, not coordinate proof."
S127,4,04/20А,confirmed_from_project_notes,raw_aralfield_dd,60.9836,45.648156,132478.6,unresolved,candidate_not_authoritative,Existing vegetation,Existing vegetation,6.52,8.2,0.58,0.16,5.7,-0.0732883140444755,-0.27583709359169,0.8734378218650818,Shrubland,Shengel,30-60,"Sand, Silt","Sand, Silt",Grey,"Aral district, 1.5 km South-West from Kaskakulan spring, Barsakelmes protected area",,,,AralField decimal-degree candidate; keep pending GPS/ODT/photo authority review.,"V5 samples a non-water class; this is diagnostic only, not coordinate proof."
S127,4,04/20А,confirmed_from_project_notes,shifted_odt_derived_dd,59.863583,44.755567,132478.6,unresolved,candidate_not_authoritative,Water / NoData / Shadow,Water / NoData / Shadow,6.52,8.2,0.58,0.16,5.7,-0.0051281773485243,0.0752688199281692,1.3671599626541138,Shrubland,Shengel,30-60,"Sand, Silt","Sand, Silt",Grey,"Aral district, 1.5 km South-West from Kaskakulan spring, Barsakelmes protected area",,,,Legacy shifted/ODT-derived candidate; keep pending original ODT/GPS authority review.,"V5 samples this coordinate as water/nodata/shadow; this is diagnostic only, not coordinate proof."
S128,5,05/20А,confirmed_from_project_notes,raw_aralfield_dd,60.987777,45.656316,132522.0,unresolved,candidate_not_authoritative,Existing vegetation,Existing vegetation,31.29,8.5,1.31,0.14,4.18,-0.0470092818140983,-0.2581521570682525,1.0179985761642456,Shrubland,"Tamarix, Yantak",60-90,"Sand, Loam",Sand,Grey,"Aral district, Kaskakulan site",Near the water source at protected area,,,AralField decimal-degree candidate; keep pending GPS/ODT/photo authority review.,"V5 samples a non-water class; this is diagnostic only, not coordinate proof."
S128,5,05/20А,confirmed_from_project_notes,shifted_odt_derived_dd,59.8688,44.762467,132522.0,unresolved,candidate_not_authoritative,Water / NoData / Shadow,Water / NoData / Shadow,31.29,8.5,1.31,0.14,4.18,0.0184757616370916,0.12128147482872,1.5312501192092896,Shrubland,"Tamarix, Yantak",60-90,"Sand, Loam",Sand,Grey,"Aral district, Kaskakulan site",Near the water source at protected area,,,Legacy shifted/ODT-derived candidate; keep pending original ODT/GPS authority review.,"V5 samples this coordinate as water/nodata/shadow; this is diagnostic only, not coordinate proof."
S129,6,06/20А,tentative_from_project_notes,raw_aralfield_dd,61.018802,45.657462,132912.3,unresolved,candidate_not_authoritative,Candidate suitable,Candidate suitable,1.17,8.63,0.21,0.18,5.64,-0.0371293239295482,-0.1282339692115783,0.9631106853485109,Shrubland,Haloxylon,60-90,"Sand, Loam, Silt","Sand, Silt",Grey,"Aral district, 2 km East from Kaskakulan site","Former sea bed, now grey takyr with small sea shells, may be reant transgression zone",,,AralField decimal-degree candidate; keep pending GPS/ODT/photo authority review.,"V5 samples a non-water class; this is diagnostic only, not coordinate proof."
S129,6,06/20А,tentative_from_project_notes,shifted_odt_derived_dd,59.89225,44.763633,132912.3,unresolved,candidate_not_authoritative,Water / NoData / Shadow,Water / NoData / Shadow,1.17,8.63,0.21,0.18,5.64,0.0387461967766284,0.115638755261898,1.4856786727905271,Shrubland,Haloxylon,60-90,"Sand, Loam, Silt","Sand, Silt",Grey,"Aral district, 2 km East from Kaskakulan site","Former sea bed, now grey takyr with small sea shells, may be reant transgression zone",,,Legacy shifted/ODT-derived candidate; keep pending original ODT/GPS authority review.,"V5 samples this coordinate as water/nodata/shadow; this is diagnostic only, not coordinate proof."
S130,7,07/20А,tentative_from_project_notes,raw_aralfield_dd,61.213133,45.725247,134796.2,unresolved,candidate_not_authoritative,Candidate suitable,Candidate suitable,1.29,7.59,0.44,0.87,38.1,-0.0677965804934501,-0.1921280771493911,0.9233352541923524,Grassland,"Sarsazan (saline shrub vegetation), herbs",0-30,Loam,"Sand, Clay",Grey,"Aral district, ~ 32 km South-West from Zhanakurylys village, Barsakelmes protected area","Takyr with few vegetation, very sparse",,,AralField decimal-degree candidate; keep pending GPS/ODT/photo authority review.,"V5 samples a non-water class; this is diagnostic only, not coordinate proof."
S130,7,07/20А,tentative_from_project_notes,shifted_odt_derived_dd,60.065867,44.820933,134796.2,unresolved,candidate_not_authoritative,Water / NoData / Shadow,Water / NoData / Shadow,1.29,7.59,0.44,0.87,38.1,-0.0366436429321765,0.0393258295953273,1.3260233402252195,Grassland,"Sarsazan (saline shrub vegetation), herbs",0-30,Loam,"Sand, Clay",Grey,"Aral district, ~ 32 km South-West from Zhanakurylys village, Barsakelmes protected area","Takyr with few vegetation, very sparse",,,Legacy shifted/ODT-derived candidate; keep pending original ODT/GPS authority review.,"V5 samples this coordinate as water/nodata/shadow; this is diagnostic only, not coordinate proof."
S131,8,08/20А,confirmed_from_project_notes,raw_aralfield_dd,61.221228,45.754821,132713.8,unresolved,candidate_not_authoritative,Existing vegetation,Existing vegetation,2.42,8.0,1.33,0.02,0.7,-0.1117151603102684,-0.2908587157726288,0.8250440955162048,Grassland,"Artemisia, other herbs",60-90,Sandly Loam,"Sand, Clay",Grey,"Aral district, ~ 28 km South-West from Zhanakurylys village, Barsakelmes protected area","Various herbaceous vegetation, Air temperature is ~ 28",,,AralField decimal-degree candidate; keep pending GPS/ODT/photo authority review.,"V5 samples a non-water class; this is diagnostic only, not coordinate proof."
S131,8,08/20А,confirmed_from_project_notes,shifted_odt_derived_dd,60.097676,44.860309,132713.8,unresolved,candidate_not_authoritative,Water / NoData / Shadow,Water / NoData / Shadow,2.42,8.0,1.33,0.02,0.7,-0.0143973659723997,0.0926568880677223,1.4102413654327393,Grassland,"Artemisia, other herbs",60-90,Sandly Loam,"Sand, Clay",Grey,"Aral district, ~ 28 km South-West from Zhanakurylys village, Barsakelmes protected area","Various herbaceous vegetation, Air temperature is ~ 28",,,Legacy shifted/ODT-derived candidate; keep pending original ODT/GPS authority review.,"V5 samples this coordinate as water/nodata/shadow; this is diagnostic only, not coordinate proof."
S132,9,09/20А,confirmed_from_project_notes,raw_aralfield_dd,61.257944,45.815325,132651.6,unresolved,candidate_not_authoritative,Candidate suitable,Candidate suitable,16.42,8.17,0.64,0.28,8.84,-0.1253056526184082,-0.2481043636798858,0.8087030053138733,Cropland,Herbaceous vegetation,30-60,Sandly Loam,"Sand, Clay",Grey,"Aral district, ~ 21 km South-West from Zhanakurylys village",Abandoned cropland (very old),,,AralField decimal-degree candidate; keep pending GPS/ODT/photo authority review.,"V5 samples a non-water class; this is diagnostic only, not coordinate proof."
S132,9,09/20А,confirmed_from_project_notes,shifted_odt_derived_dd,60.134392,44.920813,132651.6,unresolved,candidate_not_authoritative,Water / NoData / Shadow,Water / NoData / Shadow,16.42,8.17,0.64,0.28,8.84,-0.0352362990379333,-0.0223390143364667,1.134961485862732,Cropland,Herbaceous vegetation,30-60,Sandly Loam,"Sand, Clay",Grey,"Aral district, ~ 21 km South-West from Zhanakurylys village",Abandoned cropland (very old),,,Legacy shifted/ODT-derived candidate; keep pending original ODT/GPS authority review.,"V5 samples this coordinate as water/nodata/shadow; this is diagnostic only, not coordinate proof."
S133,10,10/20А,confirmed_from_project_notes,raw_aralfield_dd,61.267256,45.847397,132618.7,unresolved,candidate_not_authoritative,Water / NoData / Shadow,Water / NoData / Shadow,7.78,7.3,0.84,0.1,3.25,-0.0354815423488616,0.1983805447816848,1.121212124824524,Mosaic tree and shrub/herbaceous,"Tamarix, herbs",60-90,"Loam, Clay, Silt","Sand, Silt, Clay",Grey,"Aral district, ~ 18 km South-West from Zhanakurylys village","Plain over lakeshore, gw level is high, Various herbaceous vegetation, vegetation is very dense",,,AralField decimal-degree candidate; keep pending GPS/ODT/photo authority review.,"V5 samples this coordinate as water/nodata/shadow; this is diagnostic only, not coordinate proof."
S133,10,10/20А,confirmed_from_project_notes,shifted_odt_derived_dd,60.143704,44.952885,132618.7,unresolved,candidate_not_authoritative,Water / NoData / Shadow,Water / NoData / Shadow,7.78,7.3,0.84,0.1,3.25,-0.0448358841240406,-0.0250185951590538,1.1532140970230105,Mosaic tree and shrub/herbaceous,"Tamarix, herbs",60-90,"Loam, Clay, Silt","Sand, Silt, Clay",Grey,"Aral district, ~ 18 km South-West from Zhanakurylys village","Plain over lakeshore, gw level is high, Various herbaceous vegetation, vegetation is very dense",,,Legacy shifted/ODT-derived candidate; keep pending original ODT/GPS authority review.,"V5 samples this coordinate as water/nodata/shadow; this is diagnostic only, not coordinate proof."
S134,11,11/20А,confirmed_from_project_notes,raw_aralfield_dd,61.268779,45.945191,132518.2,unresolved,candidate_not_authoritative,Water / NoData / Shadow,Water / NoData / Shadow,0.1,8.32,0.98,1.73,95.2,,,,Bare area,Old and dried vegetation affected by high salinity,30-60,"Clay, Silt","Silt, Clay",Grey,"Aral district, 10 km from Zhanakurylys village","Former Sorkol lake bed, very saline, solonchak",,,AralField decimal-degree candidate; keep pending GPS/ODT/photo authority review.,"V5 samples this coordinate as water/nodata/shadow; this is diagnostic only, not coordinate proof."
S134,11,11/20А,confirmed_from_project_notes,shifted_odt_derived_dd,60.145227,45.050679,132518.2,unresolved,candidate_not_authoritative,Water / NoData / Shadow,Water / NoData / Shadow,0.1,8.32,0.98,1.73,95.2,-0.0433333218097686,-0.0319191887974739,1.1237274408340454,Bare area,Old and dried vegetation affected by high salinity,30-60,"Clay, Silt","Silt, Clay",Grey,"Aral district, 10 km from Zhanakurylys village","Former Sorkol lake bed, very saline, solonchak",,,Legacy shifted/ODT-derived candidate; keep pending original ODT/GPS authority review.,"V5 samples this coordinate as water/nodata/shadow; this is diagnostic only, not coordinate proof."
