20;;;;;;;;;;;;;21;;;;;;;
разрезы;Песок ;;Пыль;;;Ил;;;;;;;Разрезы;Песок;;Пыль;;;Ил;
;1;0,25-;0,05-0,01;0,01-0,005;0,005-0,001;<0,001;;;;;;;;1;0,25-;0,05-0,01;0,01-0,005;0,005-0,001;<0,001;
;-0,25;0,05;;;;;;;;;;;;-0,25;0,05;;;;;
1;86,69;;8,16;;;5,12;Песок;;;;;;1;87;;10,25;;;2,72;песок
2;67,58;;25,7;;;6,68;супесчаный;;;;;;2;84,03;;13,14;;;2,8;песок
3;47,12;;39,95;;;12,91;легко суглинистый;;;;;;3;83,74;;13,18;;;3,05;песок
4;49,21;;39,25;;;11,52;легко суглинистый;;;;;;4;49,32;;44,11;;;6,55;легкий суглинок
5;40,94;;48,66;;;10,38;средне суглинистая;;;;;;5;55,9;;33,31;;;10,75;легкий суглинок
6;77,94;;14,92;;;7,11;супесчанная ;;;;;;6;87,96;;9,43;;;12,92;супесчаный
7;71,01;;19,73;;;9,22;супесчанная ;;;;;;7;66,68;;21,58;;;11,71;легкий суглинок
8;50,03;;40,03;;;9,91;легко суглинистый;;;;;;8;65,35;;23,81;;;10,82;легкий суглинок
9;82,13;;12,53;;;5,31;супесчанная;;;;;;9;37,87;;56,04;;;6,06;супесчаный
10;32,24;;59,49;;;8,24;легко суглинистый;;;;;;10;68,96;;26,02;;;4,99;супесчаный
11;21,35;;63,75;;;14,87; тяжелая глина ;;;;;;11;84,77;;12,06;;;3,13;супесчанный
12;20,41;;61,3;;;18,26;тяжело суглинистая;;;;;;12;83,62;;15,29;;;1,06;песок
13;12,6;;65,93;;;21,45;средняя глина ;;;;;;13;56,74;;31,61;;;11,64;легкий суглинок
14;81,43;;10,71;;;7,83;супесчанная;;;;;;14;56,06;;27,42;;;16,49;средний суглинок
15;30,62;;58,26;;;11,09;средне суглинистая;;;;;;15;41,74;;49,16;;;9,07;легкий суглинок
16;40,44;;46,08;;;13,44;средне суглинистая;;;;;;16;67,94;;24,113;;;7,91;легкий суглинок
17;27,57;;62,45;;;9,94;средне суглинистая;;;;;;17;64,19;;15,53;;;10,25;супесчаный
18;71,22;;23,13;;;5,62;супесчанная ;;;;;;18;91,5;;6,14;;;2,34;песок
19;20,45;;61;;;18,53;средне суглинистая;;;;;;19;25,09;;63,47;;;11,42;средний суглинок
20;33,58;;55,48;;;10,9;легко суглинистый;;;;;;20;33,95;;54,43;;;11,59;тяжелый суглинок
21;24,89;;63,4;;;11,68;средне суглинистая;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Разрезы;Песок;;Пыль;;;Ил;;;;;;;;;;;;;;
;1;0,25-;0,05-0,01;0,01-0,005;0,005-0,001;<0,001;;;;;;;;;;;;;;
;-0,25;0,05;;;;;;;;;;;;;;;;;;
Пески пустынные;83,21;;13,13;;;3,31;супесчан;;;;;;;;;;;;;
Пески с бурыми типами почвообразования;69,2;;20,17;;;10,68;суглинист;;;;;;;;;;;;;
Солончаки континентальные;41,94;;44,43;;;13,58;суглин;;;;;;;;;;;;;
Такыровидный солончак;49,26;;40,33;;;10,34;суглин;;;;;;;;;;;;;
Приморской солончак;49,82;;42,26;;;7,86;суглин;;;;;;;;;;;;;
Солончаки местами засоленными осадками;38,3;;50,39;;;11,25;суглин;;;;;;;;;;;;;
Бурая пустынная ;82,13;;12,53;;;5,31;супесчан;;;;;;;;;;;;;
Луговая ;30,44;;53,53;;;15,98;;;;;;;;;;;;;;
Пойменно-луговая;51,39;;41,9;;;6,65;суглин;;;;;;;;;;;;;
Серо бурая ;41,74;;49,16;;;9,07;суглинис;;;;;;;;;;;;;
